jday,mjd,filter,instrument,system,obsmag,obsmagerr,mag,magerr,limmag,fnu,fnuerr,amag,amagerr,snr,source
2458198.8941319,58198.3941,r,P48+ZTF,PS1,22.748795445305337,1.1082675440141825,22.71527889785777,1.1082675440141827,20.397083452552426,2.977751423008676e-29,3.039546108714076e-29,-14.524721102142234,1.1082675440141827,1.0897691417086102,forced
2458198.8986227,58198.3986,r,P48+ZTF,PS1,24.3155398806727,4.781908282747074,24.28202333322513,4.781908282747075,20.42398345255243,7.033810549064183e-30,3.097901384925878e-29,-12.957976666774874,4.781908282747075,0.252567740494182,forced
2458198.935081,58198.435,r,P48+ZTF,PS1,,0.0,,0.0,20.53518345255243,-2.9621012538135953e-29,2.6500658383297734e-29,,0.0,-1.2433632802256798,forced
2458198.9555671,58198.4555,r,P48+ZTF,PS1,23.17798132018048,1.5941574572075081,23.14446477273291,1.5941574572075086,20.54928345255243,2.0054604005637977e-29,2.9445639177200847e-29,-14.09553522726709,1.5941574572075086,0.7576138509802379,forced
2458198.9627546,58198.4627,r,P48+ZTF,PS1,23.556693166397704,2.4186867648915564,23.523176618950128,2.4186867648915564,20.39788345255243,1.41491174759424e-29,3.1519887633830386e-29,-13.716823381049869,2.4186867648915564,0.499343605693396,forced
2458198.9966435,58198.4966,r,P48+ZTF,PS1,23.486067841027307,2.111265578247468,23.452551293579734,2.1112655782474667,20.64818345255243,1.5100088149319957e-29,2.9362838043393543e-29,-13.787448706420266,2.1112655782474667,0.5720529821863449,forced
2458203.9151273,58203.4151,g,P48+ZTF,PS1,,0.0,,0.0,20.54030603243636,-4.878646071700237e-28,3.100680488682813e-29,,0.0,-17.5023795441869,forced
2458203.9215046,58203.4215,g,P48+ZTF,PS1,,0.0,,0.0,19.32510603243636,-4.7815259571538095e-28,9.230022551374291e-29,,0.0,-5.762601085654991,forced
2458203.9224537,58203.4224,g,P48+ZTF,PS1,,0.0,,0.0,18.917406032436357,-5.811258957697784e-28,1.4316274545595651e-28,,0.0,-4.51538734406608,forced
2458203.9955787,58203.4955,g,P48+ZTF,PS1,,0.0,,0.0,20.700606032436358,-4.910014333844326e-28,2.582289996788198e-29,,0.0,-21.1510800140766,forced
