SN SN_phase temp_phase vph vph_err
ZTF18abklarx 5.13 10 26538.9 2360.2
ZTF18acpeekw 7.8 6 17619.8 3333.5
ZTF18acbwxcc 27.18 10 16684.9 2485.2
ZTF18acaimrb 48.22 50 5879.8 1239.6
ZTF18acqphpd 84.5 72 6857.7 1105.7
ZTF18aczqzrj 8.8 8 15358.5 1150.7
ZTF19aawqcgy -0.22 4 10047.4 2186.0
ZTF19aaxfcpq 45.58 46 11137.4 884.3
ZTF19ablesob -9.71 0 16732.1 3951.2
ZTF19abzwaen 29.3 30 9813.7 1099.0
ZTF19adaiomg 5.59 6 24254.8 2043.7
ZTF20aapcbmc -0.43 0 13534.1 3926.9
ZTF20aazkjfv -0.54 2 12974.3 3033.1
ZTF20abbplei 9.11 10 18452.9 2346.9
ZTF20abswdbg -1.0 -2 11617.0 4710.7
ZTF20abzoeiw 53.17 52 13179.4 904.7
ZTF21aadatfg 3.18 8 13453.5 1154.9
ZTF21aafnunh 0.98 2 8419.3 2807.6
ZTF21aagtpro -10.04 8 22185.5 1592.2
ZTF21aartgiv 15.9 14 23315.3 2618.4
ZTF21aardvol -6.2 -6 10041.4 4593.3
ZTF21aaocrlm -4.1 -4 14140.0 4910.5
ZTF21abmjgwf 5.37 6 14592.8 2083.6
ZTF21acbnfos 0.49 8 12098.5 1264.9
