#bolometric correction
# SESNe and SNe II from Lyman et al 2014
#    https://ui.adsabs.harvard.edu/abs/2014MNRAS.437.3848L/abstract
#    table 2, 3, 4
type  x y range    bc_c0   bc_c1  bc_c2 rms1  pbc_c0  pbc_c1 pbc_c2 rms2
SESNe B V 0.0/1.3  -0.083 -0.139 -0.691 0.109 +0.076 -0.347 -0.620 0.112
SESNe B R 0.1/2.0  -0.029 -0.302 -0.224 0.069 +0.136 -0.464 -0.181 0.067
SESNe B I -0.4/2.3 -0.055 -0.240 -0.154 0.061 +0.097 -0.354 -0.131 0.064
SESNe V R -0.2/0.7 +0.197 -0.183 -0.419 0.101 +0.299 -0.372 -0.358 0.087
SESNe V I -0.7/1.1 +0.213 -0.203 -0.079 0.090 +0.306 -0.283 -0.084 0.072
SESNe g i -0.8/1.1 -0.029 -0.404 -0.230 0.060 +0.051 -0.511 -0.195 0.055
SESNe g r -0.3/1.0 +0.054 -0.195 -0.719 0.076 +0.168 -0.407 -0.608 0.074
II    B V 0.0/1.6  -0.138 -0.013 -0.649 0.094 +0.058 -0.331 -0.520 0.092
II    B R 0.1/2.5  +0.004 -0.303 -0.213 0.037 +0.124 -0.406 -0.191 0.038
II    B I 0.0/2.8  +0.004 -0.297 -0.149 0.026 +0.121 -0.387 -0.131 0.028
II    V R 0.0/0.9  +0.073 +0.902 -1.796 0.050 +0.059 +1.039 -1.958 0.060
II    V I 0.0/1.2  +0.057 +0.708 -0.912 0.043 +0.065 +0.744 -0.953 0.053
II    g i -0.5/1.4 -0.007 -0.359 -0.336 0.022 +0.063 -0.497 -0.268 0.024
II    g r -0.2/1.3 +0.053 -0.089 -0.736 0.036 +0.165 -0.332 -0.612 0.037
cool  B V -0.2/0.5 -0.393 +0.786 -2.124 0.089 -      -      -      -
cool  B R -0.2/0.8 -0.463 +0.790 -1.034 0.078 -      -      -      -
cool  B I -0.2/0.8 -0.473 +0.830 -1.064 0.072 -      -      -      -
cool  V R 0.0/0.4  -0.719 +4.093 -6.419 0.125 -      -      -      -
cool  V I 0.0/0.4  -0.610 +2.244 -2.107 0.146 -      -      -      -
cool  g i -0.7/0.1 -0.158 -0.459 -1.599 0.069 -      -      -      -
cool  g r -0.3/0.3 -0.146 +0.479 -2.257 0.078 -      -      -      -
